name,latitude,longitude
авиамоторная,55.750788,37.721085
автозаводская,55.705564,37.661716
академическая,55.68766,37.573348
александровский сад,55.752354,37.60947
алексеевская,55.807805,37.638737
алма-атинская,55.632825,37.765911
алтуфьево,55.898205,37.587362
аминьевская,55.697417,37.468973
андроновка,55.746841,37.737426
аникеевка,55.832308,37.219161
аннино,55.583205,37.59674
арбатская,55.752536,37.604196
аэропорт,55.610011,37.266017
аэропорт внуково,55.60577,37.288142
бабушкинская,55.86947,37.664204
багратионовская,55.743801,37.497863
балтийская,55.825153,37.494728
баррикадная,55.760818,37.58128
бауманская,55.772411,37.679044
беговая,55.771368,37.539868
белокаменная,55.82938,37.702319
беломорская,55.865374,37.475692
белорусская,55.776467,37.579628
беляево,55.642748,37.525836
бескудниково,55.882187,37.567698
бибирево,55.883873,37.60302
библиотека и ленина,55.75132,37.610116
библиотека им. ленина,55.75132,37.610116
битца,55.571179,37.611473
битцевский парк,55.600323,37.556235
борисово,55.633368,37.743633
боровицкая,55.750575,37.608652
боровское шоссе,55.647671,37.370131
ботанический сад,55.845506,37.640057
братиславская,55.659647,37.750739
бульвар адмирала ушакова,55.545319,37.542833
бульвар дмитрия донского,55.569673,37.577355
бульвар рокоссовского,55.81645,37.738477
бунинская аллея,55.537969,37.515928
бутово,55.541698,37.57068
бутырская,55.796127,37.588108
варшавская,55.653929,37.622208
варшавская (коломенское),55.653929,37.622208
вднх,55.821097,37.641045
верхние котлы,55.69008,37.618767
верхние лихоборы,55.856235,37.561041
вешняки,55.722467,37.798107
владыкино,55.847437,37.590524
внуково,55.649058,37.270005
водный стадион,55.839891,37.486796
войковская,55.825153,37.494728
волгоградский проспект,55.724981,37.687084
волжская,55.690902,37.753164
волоколамская,55.832171,37.383022
воробьевы горы,55.708186,37.545285
воробьёвы горы,55.708186,37.545285
воронцовская,55.658845,37.539446
выставочная,55.750175,37.541431
выставочный центр,55.824091,37.638503
выхино,55.716575,37.815911
говорово,55.659551,37.417266
гражданская,55.805483,37.553325
давыдково,55.71517,37.45177
дегунино,55.865581,37.573232
деловой центр,55.747586,37.531936
депо,55.674123,37.728065
динамо,55.789735,37.558239
дмитровская,55.807956,37.578478
добрынинская,55.728996,37.622747
долгопрудная,55.940034,37.520033
домодедовская,55.610845,37.718669
достоевская,55.781499,37.614707
дубровка,55.712391,37.676574
жулебино,55.685137,37.855797
зеленоград — крюково,55.980266,37.173796
зил,55.698624,37.649049
зорге,55.789158,37.504223
зюзино,55.655717,37.57369
зябликово,55.612334,37.745187
измайлово,55.788722,37.743058
измайловская,55.787761,37.781506
калитники,55.734151,37.701978
калужская,55.656682,37.540075
кантемировская,55.636107,37.656218
карамышевская,55.775702,37.48508
каховская,55.652822,37.597612
каширская,55.654462,37.647639
киевская,55.740005,37.563889
китай-город,55.757009,37.631299
кленовый бульвар,55.674692,37.681568
кожуховская,55.706371,37.685341
коломенская,55.678412,37.663845
коммунарка,55.560071,37.46865
комсомольская,55.775707,37.6547
коньково,55.63316,37.518973
коптево,55.840452,37.521417
косино,55.705691,37.848035
котельники,55.674138,37.858644
красногвардейская,55.613692,37.744046
красногорская,55.81434,37.303953
краснопресненская,55.760216,37.57722
красносельская,55.779818,37.666225
красные ворота,55.768664,37.649229
красный балтиец,55.815483,37.526627
красный строитель,55.589753,37.615075
крестьянская застава,55.732651,37.66503
кропоткинская,55.745073,37.603487
крылатское,55.756842,37.408139
крымская,55.690004,37.605122
кузнецкий мост,55.761512,37.624516
кузьминки,55.705463,37.766154
кунцевская,55.726908,37.449282
курская,55.757992,37.66221
курьяново,55.649855,37.701439
кутузовская,55.739468,37.534406
ленинский проспект,55.707152,37.585404
лермонтовский проспект,55.701704,37.852383
лесопарковая,55.582055,37.577031
лефортово,55.762151,37.746382
лианозово,55.898866,37.548995
лихоборы,55.847674,37.553046
локомотив,55.804056,37.745969
ломоносовский проспект,55.70706,37.516063
лубянка,55.759618,37.626762
лужники,55.720834,37.560323
лухмановская,55.708516,37.900578
люблино,55.685026,37.733904
марк,55.904443,37.538269
марксистская,55.741303,37.655957
марьина роща,55.800909,37.618587
марьина роща (шереметьевская),55.802265,37.61583
марьино,55.650028,37.743471
матвеевская,55.70458,37.481693
маяковская,55.770178,37.595501
медведково,55.880031,37.611536
международная,55.748311,37.534263
менделеевская,55.781767,37.59878
минская,55.723658,37.500746
митино,55.845734,37.362163
мичуринский проспект,55.688203,37.485304
мнёвники,55.761153,37.47139
молодежная,55.740872,37.416619
молодёжная,55.740872,37.416619
москва-товарная,55.745656,37.688315
москворечье,55.640396,37.689087
мякинино,55.129792,38.378984
нагатинская,55.682026,37.62104
нагатинский затон,55.684427,37.704592
нагорная,55.672691,37.610592
народное ополчение,55.775702,37.48508
нахабино,55.84166,37.184854
нахимовский проспект,55.662501,37.605373
некрасовка,55.702967,37.928039
немчиновка,55.715996,37.37536
нижегородская,55.732469,37.728326
новаторская,55.669823,37.52218
новогиреево,55.744429,37.819047
новодачная,55.924396,37.527947
новокосино,55.745113,37.864061
новокузнецкая,55.742372,37.629241
новопеределкино,55.638841,37.382124
новоподрезково,55.936534,37.352246
новослободская,55.779565,37.601421
новохохловская,55.724084,37.716746
новоясеневская,55.601717,37.553837
новые черемушки,55.670077,37.554493
новые черёмушки,55.670077,37.554493
озёрная,55.67058,37.449012
окружная,55.848857,37.571543
окская,55.718623,37.781281
октябрьская,55.777332,37.654313
октябрьское поле,55.793586,37.493326
ольховая,55.56898,37.459056
опалиха,55.822706,37.248769
орехово,55.612934,37.695268
остафьево,55.486015,37.555166
отрадное,55.667772,37.250799
охотный ряд,55.756969,37.615524
очаково,55.683148,37.450558
павелецкая,55.729387,37.640749
павшино,55.815175,37.341448
панфиловская,55.798019,37.49983
парк культуры,55.735307,37.592869
парк победы,55.736934,37.516009
партизанская,55.788464,37.749984
пенягино,55.822539,37.361058
первомайская,55.794614,37.799427
перерва,55.661415,37.716998
перово,55.736093,37.763683
петровский парк,55.79185,37.557197
петровско-разумовская,55.839795,37.568426
печатники,55.69282,37.732188
пионерская,55.588537,38.157199
планерная,55.924199,37.381351
площадь гагарина,55.706827,37.586625
площадь ильича,55.74711,37.68155
площадь революции,55.756807,37.622729
подольск,55.431637,37.565389
покровское,55.602973,37.632071
полежаевская,55.777449,37.519315
полянка,55.736904,37.618695
пражская,55.612599,37.604565
преображенская площадь,55.796172,37.715022
прокшино,55.586456,37.43322
пролетарская,55.723886,37.729125
проспект вернадского,55.678519,37.503747
проспект мира,55.781747,37.633032
профсоюзная,55.67793,37.562874
пушкинская,55.765752,37.6039
пыхтино,55.624642,37.296146
пятницкое шоссе,55.855967,37.354141
рабочий посёлок,55.726918,37.417886
раменки,55.697691,37.498734
рассказовка,55.633968,37.334756
речной вокзал,55.854891,37.476231
рижская,55.793308,37.639662
римская,55.746233,37.681245
ростокино,55.839224,37.668408
румянцево,55.633028,37.441404
рязанский проспект,55.717097,37.793364
савеловская,55.795363,37.589159
савёловская,55.795363,37.589159
саларьево,55.621816,37.424057
санино,55.583886,37.138168
свиблово,55.855179,37.652625
